a,ɑː,,"['conjunction', 'interjection', 'adverb', 'preposition', 'letter', 'noun', 'adjective', 'verb', 'pronoun']"
aah,ˈɑːh,,"['verb', 'interjection', 'noun']"
aardvark,ˈɑːd.vɑːk,,['noun']
ab,æb,,"['conjunction', 'adverb', 'preposition', 'noun', 'adjective', 'verb']"
aback,əˈbæk,,"['adverb', 'noun']"
abacus,ˈæbəkəs,,['noun']
abaft,əˈbæft,,"['adverb', 'preposition']"
abalone,æb.əˈləʊ.ni,,['noun']
abandon,əˈbæn.dən,,"['adverb', 'verb', 'noun']"
abandoned,əˈbæn.dn̩d,,"['adjective', 'verb']"
abandoning,əˈbændənɪŋ,,"['verb', 'noun']"
abandonment,əˈbæn.dn̩.mn̩t,,['noun']
abase,əˈbeɪs,,"['interjection', 'verb']"
abased,əˈbeɪst,,"['adjective', 'verb']"
abasement,əˈbeɪs.mənt,,['noun']
abases,aˈbazɛs,,"['verb', 'noun']"
abash,əˈbæʃ,,['verb']
abashed,əˈbæʃt,,"['adjective', 'verb']"
abashedly,əˈbæʃ.ɪd.li,,['adverb']
abashment,əˈbæʃ.mənt,,['noun']
abate,əˈbeɪt,,"['verb', 'noun']"
abatement,əˈbeɪt.mənt,,['noun']
abates,əˈbeɪts,,"['verb', 'noun']"
abating,əˈbeɪtɪŋ,,"['verb', 'noun']"
abattoir,ˈæb.əˌtwɑː(ɹ),,['noun']
abbess,ˈæb.ɪs,,['noun']
abbey,ˈæb.i,,['noun']
abbeys,ˈæb.iz,,['noun']
abbot,ˈæb.ət,,['noun']
abbots,ˈæb.əts,,['noun']
abbreviate,ə.ˈbɹiː.vi.eɪt,,"['verb', 'adjective', 'noun']"
abbreviated,əˈbɹiːvieɪtɪd,,"['adjective', 'verb']"
abbreviation,əˌbɹiː.viˈeɪ.ʃən,,['noun']
abbé,æˈbeɪ,,['noun']
abdicate,ˈæb.dɪˌkeɪt,,['verb']
abdicated,ˈæb.dɪ.keɪ.tɪd,,['verb']
abdication,ˌæb.dəˈkeɪ.ʃən,,['noun']
abdomen,ˈæb.də.mən,,['noun']
abdominal,æbˈdɒm.ə.nl̩,,"['adjective', 'noun']"
abduct,æbˈdʌkt,,['verb']
abducted,æbˈdʌktɪd,,"['adjective', 'verb']"
abductee,ˌæb.dʌkˈtiː,,['noun']
abduction,əbˈdʌk.ʃn̩,,['noun']
abductions,ab.dyk.sjɔ̃,,['noun']
abductor,æbˈdʌk.tɚ,,"['adjective', 'noun']"
abeam,ə.ˈbiːm,,"['adverb', 'preposition', 'adjective', 'verb']"
abed,əˈbɛd,,['adverb']
aberrant,ə.ˈbɛ.ɹənt,,"['verb', 'adjective', 'noun']"
aberration,ˌæb.əˈɹeɪ.ʃn̩,,['noun']
aberrational,ˌæb.əˈɹeɪ.ʃən.l̩,,['adjective']
